Date,
2010-01-01,46.2
2010-01-01,44.6
2010-01-01,44.1
2010-01-01,43.8
2010-01-01,43.5
2010-01-01,43
2010-01-01,43.1
2010-01-01,42.3
2010-01-01,42.5
2010-01-01,45.9
2010-01-01,49.4
2010-01-01,52.4
2010-01-01,54.9
2010-01-01,57.1
2010-01-01,58.4
2010-01-01,59.1
2010-01-01,59.1
2010-01-01,58
2010-01-01,54.5
2010-01-01,51.3
2010-01-01,49.2
2010-01-01,48.1
2010-01-01,47.2
2010-01-01,46.4
2010-01-02,46.5
2010-01-02,44.9
2010-01-02,44.4
2010-01-02,44.1
2010-01-02,43.9
2010-01-02,43.3
2010-12-30,54.1
2010-12-30,50.9
2010-12-30,49
2010-12-30,47.9
2010-12-30,46.9
2010-12-30,46.1
2010-12-31,46.1
2010-12-31,44.5
2010-12-31,44.1
2010-12-31,43.7
2010-12-31,43.5
2010-12-31,42.9
2010-12-31,43
2010-12-31,42.2
2010-12-31,42.5
2010-12-31,46
2010-12-31,49.4
2010-12-31,52.4
2010-12-31,54.7
2010-12-31,56.9
2010-12-31,58.2
2010-12-31,58.8
2010-12-31,58.8
2010-12-31,57.6
2010-12-31,54.3
2010-12-31,51.1
2010-12-31,49
2010-12-31,47.9
2010-12-31,46.9
2010-12-31,46.2